Items,Description ,Price ,Price Mark Up,Units,Price per Unit,Kg,Pounds,For Sale ,Price
242,Box C. Blue Gran Espre. Dark Roast,$58.00,,100,$0.58,1.98,4.356,YES,$1.31
254,Box 100 C. Blue Gold Selection,$58.00,,100,$0.58,1.98,4.356,YES,$1.31
255,Box 100 C. Blue Gold Selection x2,$90.00,,100,$0.90,2.47,5.434,YES,$2.03
256,Box 100 C. Blue Top Class,$58.00,,100,$0.58,1.76,3.872,YES,$1.31
257,Box 100 C. Blue TopClass x2,$90.00,,100,$0.90,2.47,5.434,YES,$2.03
259,Box 100 C. Blue Gran Espr. Drak Roast x2,$90.00,,100,$0.90,2.47,5.434,YES,$2.03
261,Box 100 C. Blue decaffeinato FS,$53.00,,100,$0.53,1.87,4.114,YES,$1.19
262,Box 100 C Blue Caffe Crema,$58.00,,100,$0.58,1.98,4.356,YES,$1.31
493,Case 24 B. Full Leaf Black Iced Tea 3.5Oz,$58.00,,24,$2.42,0.09,0.198,YES,$5.44
494,Case 32 B. Br Leaf Black Iced Tea 4Oz,$50.00,,32,$1.56,0.11,0.242,YES,$3.52
495,Case 50 bags Plain Black Iced Tea 1 Oz,$26.00,,6,$4.33,0.02,0.044,YES,$9.75
496,C. 24 B Full Leaf BI Iced Tea,$64.00,,24,$2.67,5.25,11.55,YES,$6.00
497,Case 24 B. Full Leaf Org. Black Tea 3.5Oz,$66.00,,24,$2.75,0.09,0.198,YES,$6.19
939,Case 100 C. Blue Res Tierra Selection,$58.00,#ERROR!,100,$0.58,1.98,4.356,YES,$1.31
963,Case 100 C. Blue Res Tierra Colombia,$58.00,,100,$0.58,1.98,4.356,YES,$1.31
964,Box 100 C. Blue Res Tierra Alteco,$58.00,#ERROR!,100,$0.58,1.98,4.356,YES,$1.31
1057,Case 12 Bgs Dek Bar 500g,$151.32,,12,$12.61,0.5,1.1,YES,$28.37
1111,20 Bags DEK Bar Ground,$126.11,,20,$6.31,11.02,24.244,NO,
1226,CS 6 Res Tierra ALT FLT BIOUTZ,$25.35,,6,$4.23,0.226,0.4972,YES,$9.51
1717,Case 100 C. Blue Res Tierra Brasile ,$58.00,,100,$0.58,2.09,4.598,YES,$1.31
1943,Case 6 Bags Q. Oro Usa/can 1kg,$165.67,,6,$27.61,1,2.2,YES,$62.13
2010,Case 6 Bags Top Class 1Kg,$118.68,,6,$19.78,1,2.2,YES,$44.51
2122,Tray 12 Cans Org Cappuc Cold Brew 8 Oz,$27.00,,12,$2.25,6.46,14.212,YES,$5.06
2134,Case 6 Bags Gran Espres 1 Kg ,$118.68,,6,$19.78,1,2.2,YES,$44.51
2200,Case 6 PC Res Tierra Col,$151.20,#ERROR!,6,$25.20,1,2.2,YES,$56.70
2202,Case 6 Basg Res Tierra Select 1kg,$151.20,#ERROR!,6,$25.20,1,2.2,YES,$56.70
2209,Case 6 Bags Res Tierra Bras,$151.20,,6,$25.20,1,2.2,YES,$56.70
2214,Case 6 PC Res Tierra Brasil Blend ,$151.20,#ERROR!,6,$25.20,1,2.2,YES,$56.70
2218,Case 6 S.P Res Tierra Col FLT ,$41.19,#ERROR!,6,$6.87,0.25,0.55,YES,$15.45
2220,CS 6 Restierra Bras,$41.19,#ERROR!,6,$6.87,0.226,0.4972,YES,$15.45
2221,Case 6 PC Res Tierra Alteco ,$151.20,,6,$25.20,1,2.2,YES,$56.70
2230,Case 6 Basg Gran Riserva 1kg,$141.96,#ERROR!,6,$23.66,1,2.2,YES,$53.24
3426,20 PC Gold Sel Filter ,$84.50,,20,$4.23,0.226,0.4972,YES,$9.51
3427,Case 6 Bags Bags Gold Sel Filter 1000g,$108.60,,6,$18.10,1,2.2,YES,$40.73
3431,20 PC Decaff Filter,$87.00,,20,$4.35,10,22,YES,$9.79
3432,Case 6 Bags Top Class Filter 1kg,$108.60,,6,$18.10,1,2.2,YES,$40.73
3433,Case 6 S. Pack Top Class Filter ,$25.35,,6,$4.23,0.25,0.55,YES,$9.51
3438,Case 12 Pack Decaff Filter 500g,$116.10,#ERROR!,12,$9.68,0.5,1.1,YES,$21.77
3441,20 Packs Filt Class Balanc,$109.25,,20,$5.46,0.226,0.4972,YES,$12.29
3454,Case 6 Bags Gr Riserva Filt Dark 1000g,$119.46,#ERROR!,6,$19.91,1,2.2,YES,$44.80
4202,Case 6 Bags Super Crema 1kg,$174.12,,6,$29.02,1,2.2,YES,$65.30
4320,Case 6 Bags Gold Selection,$141.96,,6,$23.66,1,2.2,YES,$53.24
4404,Case 6 Box 20 Organic English Breakfast,$45.66,,120,$0.38,0.61,1.342,NO,
4405,Case 6 Box 20 Earl Grey Supreme ,$45.66,,120,$0.38,0.61,1.342,NO,
4406,Case 6 Box 20 decaf Ceylon,$45.66,,120,$0.38,0.61,1.342,NO,
4407,Case 6 Box 20 Organic Mint Verbena,$45.66,,120,$0.38,0.61,1.342,NO,
4408,Case 6 Box 20 Japanese Sencha,$45.66,,120,$0.38,0.61,1.342,NO,
4409,Case 6 Box 20 Hot Cinnamon Spice,$45.66,,120,$0.38,0.61,1.342,NO,
4410,Case 6 Box Chamomile,$45.66,,108,$0.42,0.61,1.342,NO,
4411,Case 6 Box 20 Rooibos Chai,$45.66,,120,$0.38,0.61,1.342,NO,
4412,Case 6 Box 20 English Breakfast,$26.08,,120,$0.22,0.48,1.056,NO,
4413,Case 6 Box 20 decaf Ceylon,$26.08,,120,$0.22,0.48,1.056,NO,
4414,Case 6 Box 20 Organic Earl Grey Supreme,$26.08,,120,$0.22,0.61,1.342,NO,
4415,Case 6 Box 20 Hot Cinnamon Spice,$26.08,,120,$0.22,0.48,1.056,NO,
4416,Case 6 Box 20 Japan Sencha,$26.08,,120,$0.22,0.48,1.056,NO,
4417,Case 6 Box 20 Egyot Chamomile,$26.08,,120,$0.22,0.48,1.056,NO,
4418,Case 6 Box 20 Organic Pep Herbal ,$26.08,,120,$0.22,0.48,1.056,NO,
4419,Case 6 Box 20 Red Raspberry,$26.08,,120,$0.22,0.48,1.056,NO,
4512,CS 6 Restierra Alteco ,$222.37,,6,$37.06,1,2.2,YES,$83.39
5042,Case 6 Packs Premium Soluble Milk,$75.00,,6,$12.50,1,2.2,YES,$28.13
5043,Case 6 Packs Premium Hot Chocolate,$75.00,,6,$12.50,1,2.2,YES,$28.13
5044,Case 6 Packs Premium Chai Tea,$50.40,,6,$8.40,1,2.2,YES,$18.90
6019,Case 4 Boxes 40c KCUP Gran Selezione,$72.00,,160,$0.45,4.06,8.932,YES,$1.01
6020,Case 4 Boxes 40c KCUP Gran Aroma,$72.00,,160,$0.45,4.06,8.932,YES,$1.01
7082,Case 6 Box 10 NCC Alu Espr.Classico,$33.41,,6,$5.57,0.75,1.65,YES,$12.53
7086,Case 6 Boxes 10 NCC ALU Espr. Intenso,$33.41,,60,$0.56,0.75,1.65,YES,$1.25
7088,Case 6 Boxes 10 NCC AL. Espre Lungo,$33.41,,60,$0.56,0.74,1.628,YES,$1.25
7090,Case 6 Boxes 10 NCC ,$33.41,,60,$0.56,0.77,1.694,YES,$1.25
7509,Case 6 Soft GR. Aroma ,$43.13,#ERROR!,6,$7.19,0.34,0.748,YES,$16.17
