Code,Item ,Group,Kg Per Case,Pounds Per Case,Bags/Units Per Case,Gallons per Case,Price per case ($),Price per Unit ($),,Stores,,Date,Week,Month,Period,,Week,Days,,Store,Location
256,Box 100 C. Blue Top Class,Coffee,1.76,3.880,100,0,$58.00,$0.58,,Long Beach,,1/1/2024,Week 01,January,Q1,January,Week 01,Jan 01 - Jan 07,,Tampa,Florida
939,Case 100 C. Blue Res Tierra Selection,Coffee,1.98,4.365,100,0,$58.00,$0.58,,Santa Monica,,1/2/2024,Week 01,01 Jan,Q4,,Week 02,Jan 08 - Jan 14,,Lafayette,Washington DC
964,Box 100 C. Blue Res Tierra Alteco,Coffee,1.98,4.365,100,0,$58.00,$0.58,,Fountain Valley,,1/3/2024,Week 01,01 Jan,Q4,,Week 03,Jan 15 - Jan 21,,Farragut,Washington DC
1057,Case 12 Bgs Dek Bar 500g,Coffee,0.5,1.102,12,0,$151.32,$12.61,,San Jose,,1/4/2024,Week 01,Jan,Q4,,Week 04,Jan 22 - Jan 28,,West Palm Beach,Florida
1111,20 Bags DEK Bar Ground,Coffee,11.02,24.295,20,0,$126.11,$6.31,,Berkeley,,1/5/2024,Week 01,01 Jan,Q4,,Week 05,Jan 29 - Feb 04,,Fountain Valley,California
2134,Case 6 Bags Gran Espres 1 Kg ,Coffee,1,2.205,6,0,$118.68,$19.78,,Denver,,1/6/2024,Week 01,01 Jan,Q4,,Week 06,Feb 05 - Feb 11,,Santa Monica,California
2200,Case 6 PC Res Tierra Col,Coffee,1,2.205,6,0,$166.32,$27.72,,Tampa,,1/7/2024,Week 01,01 Jan,Q4,,Week 07,Feb 12 - Feb 18,,Berkeley,California
2202,Case 6 Bags Reserva Tierra Select 1kg,Coffee,1,2.205,6,0,$166.32,$25.20,,Lafayette,,1/8/2024,Week 02,01 Jan,Q4,,Week 08,Feb 19 - Feb 25,,San Jose,California
2214,Case 6 PC Res Tierra Brasil Blend ,Coffee,1,2.205,6,0,$151.20,$25.20,,Farragut,,1/9/2024,Week 02,01 Jan,Q4,,Week 09,Feb 26 - Mar 03,,Long Beach,California
2218,Case 6 S.P Res Tierra Col FLT ,Coffee,0.25,0.551,6,0,$41.19,$6.87,,West Palm Beach,,1/10/2024,Week 02,01 Jan,Q4,,Week 10,Mar 04 - Mar 10,,Corporate,Corporate
2220,Case 6 Bags Soft Reserva Tierra Brazil,Coffee,0.226,0.498,6,0,$41.19,$6.87,,Corporate,,1/11/2024,Week 02,01 Jan,Q4,,Week 11,Mar 11 - Mar 17,,Detroit,Michigan 
2230,Case 6 Basg Gran Riserva 1kg,Coffee,1,2.205,6,0,$141.96,$23.66,,Detroit,,1/12/2024,Week 02,01 Jan,Q4,,Week 12,Mar 18 - Mar 24,,Denver,Colorado
2330,Gran Riserva Coffee,Coffee,1,2.205,12,0,$149.06,$12.42,,St Pete,,1/13/2024,Week 02,01 Jan,Q4,,Week 13,Mar 25 - Mar 31,,St Pete,Florida
3438,Case 12 Pack Decaff Filter 500g,Coffee,0.5,1.102,12,0,$116.10,$9.68,,,,1/14/2024,Week 02,01 Jan,Q4,,Week 14,Apr 01 - Apr 07,,,
3454,Case 6 Bags Gr Riserva Filt Dark 1000g,Coffee,1,2.205,6,0,$108.60,$18.10,,,,1/15/2024,Week 03,01 Jan,Q4,,Week 15,Apr 08 - Apr 14,,,
3479,Pack Italian Roast Ground Coffee 340 g,Coffee,0.34,0.750,6,0,$30.55,$7.19,,,,1/16/2024,Week 03,01 Jan,Q4,,Week 16,Apr 15 - Apr 21,,,
7509,Case 6 Soft Packs Gr. Aroma 340,Coffee,0.34,0.750,6,0,$30.55,$7.19,,,,1/17/2024,Week 03,01 Jan,Q4,,Week 17,Apr 22 - Apr 28,,,
7511,Case 6 Soft Packs Perfetto 340,Coffee,0.34,0.750,6,0,$30.55,$7.19,,,,1/18/2024,Week 03,01 Jan,Q4,,Week 18,Apr 29 - May 05,,,
7512,Case 6 Soft Packs GR. Selezione,Coffee,0.34,0.750,6,0,$43.13,$7.19,,,,1/19/2024,Week 03,01 Jan,Q4,,Week 19,May 06 - May 12,,,
7513,Expo MIX 24 PC Ground Soft Pack,Coffee,8.16,17.990,24,0,$172.51,$7.19,,,,1/20/2024,Week 03,01 Jan,Q4,,Week 20,May 13 - May 19,,,
7510,Case 6 Soft Packs Classico ,Coffee,0.34,0.748,6,0,$30.55,$5.09,,,,1/21/2024,Week 03,01 Jan,Q4,,Week 21,May 20 - May 26,,,
8026,Cold Brew Bag 1 Gal 7:1,Cold Brew,8.69,19.158,1,1,$155.00,$155.00,,,,1/22/2024,Week 04,01 Jan,Q4,,Week 22,May 27 - Jun 02,,,
2121,Organic Double OAT Cold Brew,Cold Brew Can,6.48,14.286,12,0,$28.35,$2.36,,,,1/23/2024,Week 04,01 Jan,Q4,,Week 23,Jun 03 - Jun 09,,,
2122,Organic Cappuccino Cold Brew,Cold Brew Can,6.46,14.242,12,0,$27.00,$2.25,,,,1/24/2024,Week 04,01 Jan,Q4,,Week 24,Jun 10 - Jun 16,,,
2123,Organic Classic Cold Brew,Cold Brew Can,6.36,14.021,12,0,$28.35,$2.36,,,,1/25/2024,Week 04,01 Jan,Q4,,Week 25,Jun 17 - Jun 23,,,
2132,Organic Nitro Cold brew,Cold Brew Can,5.62,12.390,12,0,$28.35,$2.36,,,,1/26/2024,Week 04,01 Jan,Q4,,Week 26,Jun 24 - Jun 30,,,
4404,Case 6 Box 20 Organic English Breakfast,Tea,0.61,1.345,120,0,$45.66,$0.38,,,,1/27/2024,Week 04,01 Jan,Q4,,Week 27,Jul 01 - Jul 07,,,
4414,Case 6 Box 20 Organic Earl Grey Supreme,Tea,0.61,1.345,120,0,$26.08,$0.22,,,,1/28/2024,Week 04,01 Jan,Q4,,Week 28,Jul 08 - Jul 14,,,
4408,Case 6 Box 20 Japanese Sencha,Tea,0.61,1.342,120,0,$45.66,$0.38,,,,1/29/2024,Week 05,01 Jan,Q4,,Week 29,Jul 15 - Jul 21,,,
4410,Case 6 Box Chamomile,Tea,0.61,1.342,108,0,$45.66,$0.42,,,,1/30/2024,Week 05,01 Jan,Q4,,Week 30,Jul 22 - Jul 28,,,
1005,Espresso Filter,Utensil,0,0.000,0,0,$157.50,,,,,1/31/2024,Week 05,01 Jan,Q4,,Week 31,Jul 29 - Aug 04,,,
1006,Drip Filter,Utensil,0,0.000,0,0,$105.00,,,,,2/1/2024,Week 05,02 Feb,Q4,,Week 32,Aug 05 - Aug 11,,,
10076880,Biocaf Milk Frother Cleaning Liquid 1L,Cleaning Utensil,28.86,63.625,12,1,$155.88,$12.99,,,,2/2/2024,Week 05,02 Feb,Q4,,Week 33,Aug 12 - Aug 18,,,
