Code,Item ,Group,Bags/Units Per Case,Price per case ($),Price per Unit ($),,Stores,,Date,Week,Month,Period,,Week,Days,,Store,Location
23461,LARGE CINNAMON BUN,TCW,36,$59.29,$1.65,,Long Beach,,1/1/2026,Week 01,01 Jan,Q1,,Week 01,Jan 01 - Jan 07,,Tampa,Florida
23663,Spinach & Feta Butter Bistro,TCW,36,$74.21,$2.06,,Santa Monica,,1/2/2026,Week 01,01 Jan,Q1,,Week 02,Jan 08 - Jan 14,,Lafayette,Washington DC
23661,GRK YOGURT CHERRY DANISH,TCW,60,$95.36,$1.59,,Fountain Valley,,1/3/2026,Week 01,01 Jan,Q1,,Week 03,Jan 15 - Jan 21,,Farragut,Washington DC
7243,52642 - Maple pecan danish,Pointe Dairy,40,$57.64,$1.44,,San Jose,,1/4/2026,Week 01,01 Jan,Q1,,Week 04,Jan 22 - Jan 28,,West Palm Beach,Florida
7270, 52442 Croissant Crv But ,Pointe Dairy,60,$68.98,$1.15,,Berkeley,,1/5/2026,Week 01,01 Jan,Q1,,Week 05,Jan 29 - Feb 04,,Fountain Valley,California
8178,Spinach & Feta Butter Bistro,Pointe Dairy,36,$65.16,$1.81,,Denver,,1/6/2026,Week 01,01 Jan,Q1,,Week 06,Feb 05 - Feb 11,,Santa Monica,California
73287,52654 Focaccia 4.8oz,Pointe Dairy,55,$56.27,$1.02,,Tampa,,1/7/2026,Week 01,01 Jan,Q1,,Week 07,Feb 12 - Feb 18,,Berkeley,California
4008,52670 Danish CARM ALMD,Pointe Dairy,36,$49.34,$1.37,,Lafayette,,1/8/2026,Week 02,01 Jan,Q1,,Week 08,Feb 19 - Feb 25,,San Jose,California
8590,Danish Raspberry Cheesecake,Pointe Dairy,84,$102.07,$1.22,,Farragut,,1/9/2026,Week 02,01 Jan,Q1,,Week 09,Feb 26 - Mar 03,,Long Beach,California
637263,LARGE CINNAMON BUN,Pointe Dairy,30,$47.07,$1.57,,West Palm Beach,,1/10/2026,Week 02,01 Jan,Q1,,Week 10,Mar 04 - Mar 10,,Corporate,Corporate
51446,52654 Focaccia 4.8oz,Greco & Sons. INC.,55,$59.99,$1.09,,Corporate,,1/11/2026,Week 02,01 Jan,Q1,,Week 11,Mar 11 - Mar 17,,Detroit,Michigan 
51449,Focaccia- Rosemary,Greco & Sons. INC.,60,$65.99,$1.10,,Detroit,,1/12/2026,Week 02,01 Jan,Q1,,Week 12,Mar 18 - Mar 24,,Denver,Colorado
